"Date","Source","Actor","IOCType","IOCValue","Context","Link"
"2026-01-29T13:49:45Z","Cybersixgill","Mustang Panda","Hash","f34d5f2d4577ed6d9ceec516c1f5a744","Confidence: 90","N/A"
"2026-01-29T12:28:52Z","Cybersixgill","Mustang Panda","Hash","d0cf9c1f87eac9b8879684a041dd6a2e1a0c15e185d4814a51adda19f9399a9b","Confidence: 70","N/A"
"2026-01-27T21:29:43Z","Cybersixgill","Mustang Panda","Hash","7acb6696ecc2fb304492f030873eaa30","Confidence: 60","N/A"
"2026-01-22T16:45:10Z","Cybersixgill","Mustang Panda","Hash","d393349a4ad00902e3d415b622cf27987a0170a786ca3a1f991a521bff645318","Confidence: 90","N/A"
"2026-01-17T03:45:57Z","Cybersixgill","Mustang Panda","Hash","cd3989830da99a69380901769fd78902efb3cd8ba5c9390e94bd4333b7fad186","Confidence: 60","N/A"
"2026-01-16T22:46:28Z","Cybersixgill","Mustang Panda","Hash","8f81ce8ca6cdbc7d7eb10f4da5f470c6","Confidence: 80","N/A"
"2026-01-13T22:47:04Z","Cybersixgill","Mustang Panda","Hash","2c34b47ee7d271326cfff9701377277b05ec4654753b31c89be622e80d225250","Confidence: 75","N/A"
"2026-01-13T22:47:04Z","Cybersixgill","Mustang Panda","Hash","aea6f6edbbbb0ab0f22568dcb503d731","Confidence: 75","N/A"
"2026-01-13T22:47:04Z","Cybersixgill","Mustang Panda","Hash","3b958db3a5061b3efa6acfe7ab3c86dfeec07eba","Confidence: 75","N/A"
"2026-01-11","VirusTotal (Fallback)","Mustang Panda","SHA256","a2e720764053a79d460bb1d34cfe6d58dc2959a0abcfd8aabdadb82c298bc8df","Text Match: Bronze President","https://www.virustotal.com/gui/file/a2e720764053a79d460bb1d34cfe6d58dc2959a0abcfd8aabdadb82c298bc8df"
"2026-01-10T06:44:30Z","Cybersixgill","Mustang Panda","Hash","722bcd4b14aac3395f8a073050b9a578","Confidence: 70","N/A"
"2026-01-10T06:44:30Z","Cybersixgill","Mustang Panda","Hash","e5baecb74c456df26aa7e0fa1661838cd86ccfd7","Confidence: 70","N/A"
"2026-01-10T06:44:30Z","Cybersixgill","Mustang Panda","Hash","819f586ca65395bdd191a21e9b4f3281159f9826e4de0e908277518dba809e5b","Confidence: 70","N/A"
"2026-01-08T02:52:02Z","Cybersixgill","Mustang Panda","Hash","a19a2658ba69030c6ac9d11fd7d7e3c1","Confidence: 70","N/A"
"2026-01-07T11:45:46Z","Cybersixgill","Mustang Panda","Hash","dae02f32a21e03ce65412f6e56942daa","Confidence: 90","N/A"
"2025-12-29T12:52:51Z","Cybersixgill","Mustang Panda","Hash","282fc12e4f36b6e2558f5dd33320385f41e72d3a90d0d3777a31ef1ba40722d6","Confidence: 80","N/A"
"2025-12-15","VirusTotal (Fallback)","Mustang Panda","SHA256","6e27843d72ebe2754d472178cd7c9fda1dc8cb220911fa5266661a5fbae3797d","Text Match: Bronze President","https://www.virustotal.com/gui/file/6e27843d72ebe2754d472178cd7c9fda1dc8cb220911fa5266661a5fbae3797d"
"2025-11-29T08:48:48Z","Cybersixgill","Mustang Panda","Hash","d194eab19fe650d290e497aa3da26cbb","Confidence: 60","N/A"
"2025-11-13T11:23:52Z","Cybersixgill","Mustang Panda","Hash","1d3554048578b03f42424dbf20730a3f","Confidence: 70","N/A"
