"Date","Source","Actor","IOCType","IOCValue","Context","Link"
"2025-11-11T15:10:27Z","Cybersixgill","Cleaver","Hash","28de2ccff30a4f198670b66b6f9a0ce5f5f9b7f889c2f5e6a4e365dea1c89d53","Confidence: 90","N/A"
"2025-11-11T15:10:27Z","Cybersixgill","Cleaver","Hash","c2c1d804aeed1913f858df48bf89a58b1f9819d7276a70b50785cf91c9d34083","Confidence: 90","N/A"
"2025-11-11T15:10:27Z","Cybersixgill","Cleaver","Hash","bdf188b3d0939ec837987b4936b19570","Confidence: 90","N/A"
"2025-11-11T15:10:27Z","Cybersixgill","Cleaver","Hash","aba938bf8dc5445df3d5b77a42db4d6643db4383","Confidence: 90","N/A"
"2025-09-19T02:59:36Z","Cybersixgill","Cleaver","Hash","c57f61e24814c9ae17c57efaf4149504e36bd3e6171e9299fd54b6fbb1ec108c","Confidence: 78","N/A"
"2025-03-07T19:07:46Z","Cybersixgill","Cleaver","Hash","d30abec551b0fb512dc2c327eeca3c43","Confidence: 60","N/A"
"2025-03-07T19:07:32Z","Cybersixgill","Cleaver","Hash","34d37f64613f3fe00086ac8d5972db89","Confidence: 60","N/A"
"2025-03-07T08:25:21Z","Cybersixgill","Cleaver","Hash","03eadb4ab93a1a0232cb40b7d2ef179a1cd0174d","Confidence: 80","N/A"
"2025-03-07T08:25:06Z","Cybersixgill","Cleaver","Hash","dbb64b0202bb4da6796279b5fa88262a6e31787e","Confidence: 90","N/A"
"2025-03-07T08:24:32Z","Cybersixgill","Cleaver","Hash","e8f50ecea1a986b4f8b00836f7f00968a6ecba4f","Confidence: 60","N/A"
"2025-03-07T08:24:19Z","Cybersixgill","Cleaver","Hash","75b7db0597f234838e7c8431b57870411842775d","Confidence: 60","N/A"
"2025-03-07T08:24:05Z","Cybersixgill","Cleaver","Hash","3b9a2e34f5d603b55cf7fd223d4e5c784b805242","Confidence: 60","N/A"
"2025-03-07T08:22:16Z","Cybersixgill","Cleaver","Hash","2374f5a9278b209563e8193847a76c25c12eec8f","Confidence: 60","N/A"
"2025-03-07T08:17:53Z","Cybersixgill","Cleaver","Hash","66d36d0b170cf1a0001cca16357961a2f28cba60","Confidence: 60","N/A"
"2025-03-07T08:17:38Z","Cybersixgill","Cleaver","Hash","1504da49f6fe8638c7e39d4bcb547fbb15376462","Confidence: 60","N/A"
"2025-03-07T08:14:40Z","Cybersixgill","Cleaver","Hash","186f07279ac0f15cc7be5caf68addabb2091bc84","Confidence: 60","N/A"
"2025-03-07T08:12:57Z","Cybersixgill","Cleaver","Hash","b66ae149bbdfc7ec6875f59ec9f4a5ae1756f8ba","Confidence: 60","N/A"
"2025-03-07T08:12:24Z","Cybersixgill","Cleaver","Hash","448e6d519a340845a55b4b1809488427c0d79cdd","Confidence: 60","N/A"
"2025-03-07T08:12:09Z","Cybersixgill","Cleaver","Hash","08d2aea84d6c148ff2ad4653856fb080eb99abf2","Confidence: 60","N/A"
"2025-03-07T08:04:00Z","Cybersixgill","Cleaver","Hash","9410963ede9702e7b74b4057fee952250ded09f85a4bb477d45a64f2352ec811","Confidence: 60","N/A"
"2025-03-07T08:00:58Z","Cybersixgill","Cleaver","Hash","afd06652b24811d7e03d5525b292293dbdf49b8c0e450d748cab0289aecdbc02","Confidence: 60","N/A"
"2025-03-07T08:00:45Z","Cybersixgill","Cleaver","Hash","a485ef522a00edc7eb141f4ef982dd52b3e784ea8d8f1bb0ca044a61ce642eac","Confidence: 60","N/A"
"2025-03-07T08:00:16Z","Cybersixgill","Cleaver","Hash","4bcc2ad5b577954a6bd23aff16566ce0784a71f9526a5ae849347ae766f4033f","Confidence: 60","N/A"
"2025-03-07T07:59:49Z","Cybersixgill","Cleaver","Hash","21c5661eb5e54d537c6c9394d7bd4accf53e06851978a36c94b649c4f404a42e","Confidence: 60","N/A"
"2025-03-07T07:59:34Z","Cybersixgill","Cleaver","Hash","110c77f66a8d4d8ccc9dc468744302cf368efd071e3e4af39338b699f6bc7808","Confidence: 60","N/A"
"2025-03-07T07:59:05Z","Cybersixgill","Cleaver","Hash","90e5fa3f382c5b15a85484c17c15338a6c8dbc2b0ca4fb73c521892bd853f226","Confidence: 90","N/A"
"2025-03-07T07:57:57Z","Cybersixgill","Cleaver","Hash","5d3ff202f20af915863eee45916412a271bae1ea3a0e20988309c16723ce4da5","Confidence: 80","N/A"
"2025-03-07T07:56:51Z","Cybersixgill","Cleaver","Hash","2c33b1dd793ad5e59180719d078301ee7ebb6cf7465286c19b042accca6ac749","Confidence: 60","N/A"
"2025-03-07T07:56:36Z","Cybersixgill","Cleaver","Hash","003676e6240421426e5c0919eb40bdde52b383eb1c54596deb77218c3885cdc5","Confidence: 60","N/A"
"2025-03-07T07:54:30Z","Cybersixgill","Cleaver","Hash","c1664df788f690fd061994ed3eb9d767e2f293448ce9d7ff5bff37549e9e4dab","Confidence: 60","N/A"
"2025-03-07T07:54:16Z","Cybersixgill","Cleaver","Hash","5ee98a677f58b897df3287448e63a1a781d312d2a951f438e1d7e4ab658fa4a0","Confidence: 60","N/A"
"2025-03-07T07:52:04Z","Cybersixgill","Cleaver","Hash","7eb564f0afc23cc8186e67f8c0d7e6c80215b75c9f0c4b35f558a9e35743ca41","Confidence: 60","N/A"
"2025-02-23T10:39:04Z","Cybersixgill","Cleaver","Hash","bca2ccff0596a9f102550976750e2a89","Confidence: 60","N/A"
"2025-02-23T10:38:49Z","Cybersixgill","Cleaver","Hash","89339821cdf6e9297000f3e6949f0404","Confidence: 60","N/A"
"2025-02-23T10:36:47Z","Cybersixgill","Cleaver","Hash","6e248f5424810ea67212f1f2e4616aa5","Confidence: 60","N/A"
"2025-02-23T10:36:28Z","Cybersixgill","Cleaver","Hash","4ddca39b05103aeb075ebb0e03522064","Confidence: 60","N/A"
"2025-02-23T01:29:04Z","Cybersixgill","Cleaver","Hash","cd3e9e4df7e607f4fe83873b9d1142e3","Confidence: 60","N/A"
"2025-02-23T01:28:49Z","Cybersixgill","Cleaver","Hash","c9c00c627015bd78fda22fa28fd11cd7","Confidence: 60","N/A"
"2025-02-23T01:28:36Z","Cybersixgill","Cleaver","Hash","b754237c7b5e9461389a6d960156db1e","Confidence: 60","N/A"
"2025-02-23T01:28:21Z","Cybersixgill","Cleaver","Hash","62bed88bd426f91ddbbbcfcd8508ed6a","Confidence: 60","N/A"
"2025-02-23T01:28:07Z","Cybersixgill","Cleaver","Hash","4d5e4f64a9b56067704a977ed89aa641","Confidence: 60","N/A"
"2025-02-23T01:27:53Z","Cybersixgill","Cleaver","Hash","047ac6aebe0fe80f9f09c5c548233407","Confidence: 60","N/A"
"2025-02-23T01:27:40Z","Cybersixgill","Cleaver","Hash","bd6e38b6ff85ab02c1a4325e8af29ce4","Confidence: 90","N/A"
"2025-02-23T01:27:26Z","Cybersixgill","Cleaver","Hash","2c28ec2d541f555b2838099ca849f965","Confidence: 90","N/A"
"2025-02-23T01:27:04Z","Cybersixgill","Cleaver","Hash","f41ad99b8a8c95e4132e850b3663cb40","Confidence: 60","N/A"
"2025-02-23T01:26:50Z","Cybersixgill","Cleaver","Hash","876787f76867ecf654019bd19409c5b8","Confidence: 60","N/A"
"2025-02-23T01:26:37Z","Cybersixgill","Cleaver","Hash","827d8ae502e3a4d56e6c3a238ba855a7","Confidence: 60","N/A"
"2025-02-23T01:26:21Z","Cybersixgill","Cleaver","Hash","5d232b72378754f7a6433f93e6380737","Confidence: 60","N/A"
"2025-02-23T01:26:07Z","Cybersixgill","Cleaver","Hash","568074d60dd4759e963adc5fe9f15eb1","Confidence: 60","N/A"
"2025-02-23T01:25:54Z","Cybersixgill","Cleaver","Hash","2bade2a5ec166d3a226761f78711ce2f","Confidence: 60","N/A"
"2025-02-23T01:25:41Z","Cybersixgill","Cleaver","Hash","1d89b48548ea1ddf0337741ebdb89d92","Confidence: 60","N/A"
"2025-02-23T01:25:27Z","Cybersixgill","Cleaver","Hash","1079d416e093ba40aa9e95a4c2a5b61f","Confidence: 60","N/A"
"2025-02-23T01:25:13Z","Cybersixgill","Cleaver","Hash","9ea86dccd5bbde47f8641b62a1eeff07","Confidence: 90","N/A"
"2025-02-23T01:25:00Z","Cybersixgill","Cleaver","Hash","fcb742b507e3c074da5524d1a7c80f7f","Confidence: 60","N/A"
"2025-02-23T01:24:46Z","Cybersixgill","Cleaver","Hash","ecb34a068eeb2548c0cbe2de00e53ed2","Confidence: 60","N/A"
"2025-02-23T01:24:31Z","Cybersixgill","Cleaver","Hash","e2cdf2a3380d0197aa11ff98a34cc59e","Confidence: 60","N/A"
"2025-02-23T01:24:17Z","Cybersixgill","Cleaver","Hash","c9f2476bf8db102fea7310abadeb9e01","Confidence: 60","N/A"
"2025-02-23T01:23:43Z","Cybersixgill","Cleaver","Hash","48f9bbdb670f89fce9c51ad433b4f200","Confidence: 60","N/A"
"2025-02-23T01:23:30Z","Cybersixgill","Cleaver","Hash","4282de95cc54829d7ac275e436e33b78","Confidence: 60","N/A"
"2025-02-23T01:23:16Z","Cybersixgill","Cleaver","Hash","1b7aee68f384e252286559abc32e6dd1","Confidence: 60","N/A"
"2025-02-23T01:23:02Z","Cybersixgill","Cleaver","Hash","fd3834d566a993c549a13a52d843a4e1","Confidence: 60","N/A"
"2025-02-23T01:22:49Z","Cybersixgill","Cleaver","Hash","c870ea6a598c12218e6ac36d791032b5","Confidence: 60","N/A"
"2025-02-23T01:22:34Z","Cybersixgill","Cleaver","Hash","9ef5266a9fdd25474227c3e33b8e6d77","Confidence: 60","N/A"
"2025-02-23T01:21:51Z","Cybersixgill","Cleaver","Hash","129ba90886c5f5eb0c81d901ad10c622","Confidence: 60","N/A"
"2025-02-23T01:21:37Z","Cybersixgill","Cleaver","Hash","0f76936e237bd87dfa2378106099a673","Confidence: 60","N/A"
"2025-02-23T01:21:22Z","Cybersixgill","Cleaver","Hash","084132b20ed65b2930129b156b99f5b3","Confidence: 60","N/A"
"2025-02-23T01:21:09Z","Cybersixgill","Cleaver","Hash","61ab3f6401d60ec36cd3ac980a8deb75","Confidence: 90","N/A"
"2025-02-23T01:20:55Z","Cybersixgill","Cleaver","Hash","8e80b40b1298f022c7f3a96599806c43","Confidence: 90","N/A"
"2025-02-23T01:20:41Z","Cybersixgill","Cleaver","Hash","d18a5f1e8c321472a31c27f4985834a4","Confidence: 60","N/A"
"2025-02-23T01:20:26Z","Cybersixgill","Cleaver","Hash","a7cd7b61d13256f5478feb28ab34be72","Confidence: 60","N/A"
"2025-02-23T01:20:11Z","Cybersixgill","Cleaver","Hash","9c428a35d9fc1fdaf31af186ff6eec08","Confidence: 60","N/A"
"2025-02-23T01:19:56Z","Cybersixgill","Cleaver","Hash","969d7f092ed05c72f27eef5f2c8158d6","Confidence: 60","N/A"
"2025-02-23T01:19:42Z","Cybersixgill","Cleaver","Hash","4fb72d580241f27945ec187855efd84a","Confidence: 60","N/A"
"2025-02-23T01:19:14Z","Cybersixgill","Cleaver","Hash","3a8a60416b7b0e1aa5d17eefb0a45a16","Confidence: 60","N/A"
"2025-02-23T01:19:01Z","Cybersixgill","Cleaver","Hash","381b7a2a6d581e3482c829bfb542a7de","Confidence: 60","N/A"
"2025-02-23T01:18:47Z","Cybersixgill","Cleaver","Hash","0e43a0f747a60855209b311d727a20bf","Confidence: 60","N/A"
"2024-03-22T03:25:43Z","Cybersixgill","Cleaver","Hash","b07ca49abd118bc2db92ccd436aec1f14bb8deb74c29b581842499642cc5c473","Confidence: 60","N/A"
"2024-02-19T14:09:55Z","Cybersixgill","Cleaver","Hash","1b5e33e5a244d2d67d7a09c4ccf16e56","Confidence: 90","N/A"
"2024-02-14T22:44:29Z","Cybersixgill","Cleaver","Hash","92bc7d04445cf67aa7ddf15792cd62778d2d774d06616d1986f4c389b3d463f5","Confidence: 90","N/A"
"2024-02-14T22:44:29Z","Cybersixgill","Cleaver","Hash","33ee8a57e142e752a9c8960c4f38b5d3ff82bf17ec060e4114f5b15d22aa902e","Confidence: 90","N/A"
"2024-02-14T22:44:29Z","Cybersixgill","Cleaver","Hash","7cdbf5c035a64cb6c7ee8c204ad42b4a507b1fde5e6708ea2486942d0d358823","Confidence: 90","N/A"
"2024-02-14T22:44:29Z","Cybersixgill","Cleaver","Hash","e837f6b814c09900726dac2cf55f41babf361152875ba2a765a34ee5cc496087","Confidence: 90","N/A"
"2024-02-14T22:44:29Z","Cybersixgill","Cleaver","Hash","abe8e86b787998a07411ee24f3f3d8a79e37c6da539650ceed566b081f968c26","Confidence: 90","N/A"
"2024-02-14T22:44:29Z","Cybersixgill","Cleaver","Hash","82779504d3fa0ffc8506ab69de9cb4d8f6415adbb11a9b8312828c539cf10190","Confidence: 90","N/A"
"2024-02-14T22:44:29Z","Cybersixgill","Cleaver","Hash","f912d40de9fe9a726448c1d84dfba2d4941f57210b2dbc035f5d34d68e8ac143","Confidence: 90","N/A"
"2024-02-14T22:44:29Z","Cybersixgill","Cleaver","Hash","af0ae0fa877f921d198239b7c722e12d14b2aa32fdfadaa37b47f558ae366de9","Confidence: 90","N/A"
"2024-02-14T22:44:29Z","Cybersixgill","Cleaver","Hash","1c550dc73b7a39b0cd21d3de7e6c26ece156253ac96f032efc0e7fcc6bc872ce","Confidence: 90","N/A"
"2024-02-14T22:44:29Z","Cybersixgill","Cleaver","Hash","4beee6e7aa244335e161fdc05296ea100090c2114b4ff2e782e3ee3e1f936fdf","Confidence: 90","N/A"
"2024-02-14T22:44:29Z","Cybersixgill","Cleaver","Hash","29a659fb0ef0262e4de0dc3c6a140677b6ddee13c1819b791bd280be0547e309","Confidence: 90","N/A"
"2024-02-14T22:44:29Z","Cybersixgill","Cleaver","Hash","da2abdc951e4b2272fea5c8989debd22e26350bab4b4219104bccec5b8a7ff5a","Confidence: 90","N/A"
"2024-02-14T22:44:29Z","Cybersixgill","Cleaver","Hash","528714aaaa4a083e72599c32c18aa146db503eee80da236b20aea11aa43bdf62","Confidence: 90","N/A"
"2024-02-14T22:44:29Z","Cybersixgill","Cleaver","Hash","c3a8f5176351e87d28f45e58c79bb6646bb5d94ade7a24c6556514c860004143","Confidence: 90","N/A"
"2024-02-14T22:44:29Z","Cybersixgill","Cleaver","Hash","d2ffc757a12817e4b58b3d58d71da951b177dedd3f65ca41fad04a03fc63fac6","Confidence: 90","N/A"
"2024-02-14T22:44:29Z","Cybersixgill","Cleaver","Hash","16d87fbd8667677da1af5433b6d797438f8dc0ab565fb40ecb29f83f148888cd","Confidence: 90","N/A"
"2024-02-14T22:44:29Z","Cybersixgill","Cleaver","Hash","6d1a50ca3e80442fa3e2caca86c166ed60bef32c2d0af7352cd227303cdec031","Confidence: 90","N/A"
"2024-02-14T22:44:29Z","Cybersixgill","Cleaver","Hash","b2ea3fcd2bc493a5ac86e47029b076716ed22ef4487f9090f4aa1923a48015d6","Confidence: 90","N/A"
"2024-02-14T22:44:29Z","Cybersixgill","Cleaver","Hash","133959be8313a372f7a8d95762722a6ca02bc30aaffde0cbcf6ba402426d02f5","Confidence: 90","N/A"
"2024-02-14T22:44:29Z","Cybersixgill","Cleaver","Hash","eaaecabb439c81e522d9f5681fdb047ee62381e763f0d9646e68cd507479ba5a","Confidence: 90","N/A"
"2024-02-14T22:44:29Z","Cybersixgill","Cleaver","Hash","ba3560d3c789984ca29d80f0a2ea38a224e776087e0f28104569630f870adaf4","Confidence: 90","N/A"
"2024-02-14T22:44:29Z","Cybersixgill","Cleaver","Hash","e5b643cb6ec30d0d0b458e3f2800609f260a5f15c4ac66faf4ebf384f7976df6","Confidence: 90","N/A"
"2024-02-14T22:44:29Z","Cybersixgill","Cleaver","Hash","79c9894b50cde62b182bd1560060c5c2bf5a1cef2b8afdffc4766e8c55ff6932","Confidence: 90","N/A"
"2024-02-14T22:44:29Z","Cybersixgill","Cleaver","Hash","b42b1186211633c2d47f3d815f0371ba234fee2ed0f26e487badc58e1ab81061","Confidence: 90","N/A"
"2024-02-14T22:44:29Z","Cybersixgill","Cleaver","Hash","ea139a73f8ec75ea60dfa87027c7c3ef4ed61b45e1acb5d1650cc54e658984ba","Confidence: 90","N/A"
"2024-02-14T22:44:29Z","Cybersixgill","Cleaver","Hash","218fac3d0639c0d762fcf71685bcf6b64c33d1533df03b4cf223d9b07ca1e3c2","Confidence: 90","N/A"
"2024-02-14T22:44:29Z","Cybersixgill","Cleaver","Hash","8c2e4aa8d73ad2e48d70dfa18abea62769c7bef59c8c1607720f4f6162413f75","Confidence: 90","N/A"
"2024-02-14T22:44:29Z","Cybersixgill","Cleaver","Hash","ca6e823dedd6ca5fada2b1fa63d0acb288027f5a3cdd2c60dcace3c424c5ced0","Confidence: 90","N/A"
"2024-02-14T22:44:29Z","Cybersixgill","Cleaver","Hash","97943739ccf8a00036dd3cdd0ba48e17a82ab9b65cc22c17c6e6258e72bb9ade","Confidence: 90","N/A"
