"Date","Source","Actor","IOCType","IOCValue","Context","Link"
"2026-01-08T02:52:02Z","Cybersixgill","LAPSUS$","Hash","a19a2658ba69030c6ac9d11fd7d7e3c1","Confidence: 70","N/A"
"2026-01-01T18:48:20Z","Cybersixgill","LAPSUS$","Hash","3ba651bc817e38f3aa04da9257ea9c0d","Confidence: 69","N/A"
"2026-01-01T06:46:28Z","Cybersixgill","LAPSUS$","Hash","33883322c6342a8082cd8de003bd8df2e6f55656","Confidence: 60","N/A"
"2025-12-30","VirusTotal (Fallback)","LAPSUS$","SHA256","d152580bbecf4babb05701f213afd323a507b3d28d462ab4c1c9962eab58a9e0","Text Match: DEV-0537","https://www.virustotal.com/gui/file/d152580bbecf4babb05701f213afd323a507b3d28d462ab4c1c9962eab58a9e0"
"2025-12-20","VirusTotal (Fallback)","LAPSUS$","SHA256","34111fc1b73c478b28b1bf9ce51757d81307a8300c1f285891213993e2c6ab28","Text Match: DEV-0537","https://www.virustotal.com/gui/file/34111fc1b73c478b28b1bf9ce51757d81307a8300c1f285891213993e2c6ab28"
"2025-11-13","VirusTotal (Fallback)","LAPSUS$","SHA256","669451373fda6968d308cde4b82d89c39efc07c5e39d30edac68bcad19cd8a2a","Text Match: DEV-0537","https://www.virustotal.com/gui/file/669451373fda6968d308cde4b82d89c39efc07c5e39d30edac68bcad19cd8a2a"
"2025-11-01T06:46:27Z","Cybersixgill","LAPSUS$","Hash","3ea67a290c6fbf16ec3a168547033e69","Confidence: 60","N/A"
"2025-11-01T06:46:27Z","Cybersixgill","LAPSUS$","Hash","11655a2f94b29ce725e84dbb1cc769969c37a6239f0d55bcefee0f85ec5b753b","Confidence: 60","N/A"
"2025-11-01T06:46:27Z","Cybersixgill","LAPSUS$","Hash","f749a7992619b55f25c01ad2a04a52adaf44bb4e","Confidence: 60","N/A"
"2025-10-19T14:49:07Z","Cybersixgill","LAPSUS$","Hash","1ec6a7b3300970378c29695a6cc13d36","Confidence: 60","N/A"
"2025-10-19T14:49:07Z","Cybersixgill","LAPSUS$","Hash","99ce74251d19d800608e30bed6e0d793931da56e","Confidence: 60","N/A"
"2025-10-19T14:49:07Z","Cybersixgill","LAPSUS$","Hash","77a1efb6136f52dd2372987b13bf486aa75baeacb93bad009aa3e284c57b8694","Confidence: 60","N/A"
"2025-09-29T02:48:29Z","Cybersixgill","LAPSUS$","Hash","065077fa74c211adf9563f00e57b5daf9594e72cea15b1c470d41b756c3b87e1","Confidence: 60","N/A"
