"Date","Source","Actor","IOCType","IOCValue","Context","Link"
"2026-01-30","VirusTotal (Fallback)","ShinyHunters","SHA256","3edcc6bd6de1202b40e954ae7bc2792bbc7cbe843c34532a22d3328b1533db20","Text Match: ShinyHunters","https://www.virustotal.com/gui/file/3edcc6bd6de1202b40e954ae7bc2792bbc7cbe843c34532a22d3328b1533db20"
"2026-01-26","VirusTotal (Fallback)","ShinyHunters","SHA256","6514cbebc17e6df52c6414b85e98ce2c2f2b036349491fa08c2a2ca5a9f02e85","Text Match: ShinyHunters","https://www.virustotal.com/gui/file/6514cbebc17e6df52c6414b85e98ce2c2f2b036349491fa08c2a2ca5a9f02e85"
"2026-01-23","VirusTotal (Fallback)","ShinyHunters","SHA256","cb1dcecb1a52d9de1b4c0e26069b631dcfb74ee01b4d88e6c5daaa6c9fc6e1c6","Text Match: ShinyHunters","https://www.virustotal.com/gui/file/cb1dcecb1a52d9de1b4c0e26069b631dcfb74ee01b4d88e6c5daaa6c9fc6e1c6"
"2026-01-13","VirusTotal (Fallback)","ShinyHunters","SHA256","40c4c5786664196926a26a8100865a63231b894868c4cf12444650b4ae4f8759","Text Match: ShinyHunters","https://www.virustotal.com/gui/file/40c4c5786664196926a26a8100865a63231b894868c4cf12444650b4ae4f8759"
"2026-01-11","VirusTotal (Fallback)","ShinyHunters","SHA256","e72b91a6e7b4faa6061ba6d67b2cb3d4b112287f179f51673b9dad5cf0335986","Text Match: ShinyHunters","https://www.virustotal.com/gui/file/e72b91a6e7b4faa6061ba6d67b2cb3d4b112287f179f51673b9dad5cf0335986"
"2025-12-19","VirusTotal (Fallback)","ShinyHunters","SHA256","72796ddc967be72c4ed21467aba025cad1b27cc43c8bb4ca49b8b5e039af89f4","Text Match: ShinyHunters","https://www.virustotal.com/gui/file/72796ddc967be72c4ed21467aba025cad1b27cc43c8bb4ca49b8b5e039af89f4"
"2025-12-18","VirusTotal (Fallback)","ShinyHunters","SHA256","9ae2258a91e009b1bbead15f96e96a14ac20de51fedd3b4d6b7148daaa2d52f6","Text Match: ShinyHunters","https://www.virustotal.com/gui/file/9ae2258a91e009b1bbead15f96e96a14ac20de51fedd3b4d6b7148daaa2d52f6"
"2025-12-15","VirusTotal (Fallback)","ShinyHunters","SHA256","dc9eb832d35cae92cd7438ddb909d98aa56a98966a5dc3e28507381b36989510","Text Match: ShinyHunters","https://www.virustotal.com/gui/file/dc9eb832d35cae92cd7438ddb909d98aa56a98966a5dc3e28507381b36989510"
"2025-12-15","VirusTotal (Fallback)","ShinyHunters","SHA256","149b40486566e41a12991552094d43ea3e2fc963339771ca952c928f6a7a92a0","Text Match: ShinyHunters","https://www.virustotal.com/gui/file/149b40486566e41a12991552094d43ea3e2fc963339771ca952c928f6a7a92a0"
"2025-12-12","VirusTotal (Fallback)","ShinyHunters","SHA256","4c2dd84bf2ca7f35e8f688635dc9ecee2053bd037ff23ec5f6bb3bacc1829788","Text Match: ShinyHunters","https://www.virustotal.com/gui/file/4c2dd84bf2ca7f35e8f688635dc9ecee2053bd037ff23ec5f6bb3bacc1829788"
"2025-12-12","VirusTotal (Fallback)","ShinyHunters","SHA256","cb419427374c7a74d337b14e0b0023222bf8d63180b10171ae586ed070c59f79","Text Match: ShinyHunters","https://www.virustotal.com/gui/file/cb419427374c7a74d337b14e0b0023222bf8d63180b10171ae586ed070c59f79"
"2025-12-12","VirusTotal (Fallback)","ShinyHunters","SHA256","66998bf9531a043d73ca98ca4014f1f278fec1adba1d47535e5e7c2a4176f89a","Text Match: ShinyHunters","https://www.virustotal.com/gui/file/66998bf9531a043d73ca98ca4014f1f278fec1adba1d47535e5e7c2a4176f89a"
"2025-12-11","VirusTotal (Fallback)","ShinyHunters","SHA256","14167be066630594a4a82df11fab44f935a1d99fd47d9405d88c972ba8f63646","Text Match: ShinyHunters","https://www.virustotal.com/gui/file/14167be066630594a4a82df11fab44f935a1d99fd47d9405d88c972ba8f63646"
"2025-12-11","VirusTotal (Fallback)","ShinyHunters","SHA256","5566cd5ef847053aae5bf71708b9231b470c4c21fd4e94db58518b2b571e7541","Text Match: ShinyHunters","https://www.virustotal.com/gui/file/5566cd5ef847053aae5bf71708b9231b470c4c21fd4e94db58518b2b571e7541"
"2025-12-08","VirusTotal (Fallback)","ShinyHunters","SHA256","78780d54b7bcc79f3a9d9a1f0ecc29b71cc285880a3892a07a3421dd4264ba52","Text Match: UNC6040","https://www.virustotal.com/gui/file/78780d54b7bcc79f3a9d9a1f0ecc29b71cc285880a3892a07a3421dd4264ba52"
"2025-12-08","VirusTotal (Fallback)","ShinyHunters","SHA256","622594c03b2cec8cce218a4824f280d9acfa4e56e3a89abee2906318245ede2d","Text Match: UNC6040","https://www.virustotal.com/gui/file/622594c03b2cec8cce218a4824f280d9acfa4e56e3a89abee2906318245ede2d"
