"IOC","Type","Sources","Max confidence","Last Seen","Detection count"
"paquimetro.net","Domain","AlienVault","60","11/05/2025-11:46:04","2"
"cseconline.org","Domain","AlienVault","60","11/05/2025-11:45:51","2"
"naturadeco.net","Domain","AlienVault","60","11/05/2025-11:45:28","3"
"racineupci.org","Domain","AlienVault","60","11/05/2025-11:45:14","2"
"dorareco.net","Domain","AlienVault","60","11/05/2025-11:45:00","3"
"adap.tv","Domain","IBlockList ,AlienVault","60","11/01/2025-13:33:33","465"
"buyinginfo.org","Domain","IBlockList ,AlienVault ,ThreatFox","75","10/10/2025-00:30:40","70"
"carryontravelers.com","Domain","AlienVault","60","09/26/2025-02:37:50","1"
"mooo.com","Domain","AlienVault","90","09/24/2025-04:34:51","52"
"analytics.com","Domain","AlienVault","60","09/06/2025-07:51:46","6"
"mediareleaseupdates.com","Domain","AlienVault","60","08/29/2025-05:52:05","2"
"sidekickopen04.com","Domain","AlienVault","90","08/13/2025-23:20:50","6"
"v0cdn.net","Domain","AlienVault","60","08/10/2025-04:42:03","2"
"adsenseformobileapps.com","Domain","AlienVault","90","08/08/2025-06:10:22","5"
"gvt2.com","Domain","AlienVault","90","08/08/2025-06:06:32","5"
"nr-data.net","Domain","AlienVault","90","07/08/2025-01:21:26","10"
"xn--c1akamfdav3b8e.cam","Domain","AlienVault","60","06/27/2025-08:52:10","1"
"sincere-home.com","Domain","AlienVault","60","06/23/2025-22:07:14","3"
"mlcorsoft.org","Domain","AlienVault","60","06/23/2025-22:03:32","2"
"payccooxx.top","Domain","AlienVault","60","06/23/2025-22:02:46","1"
"sksdwl.com","Domain","AlienVault","60","06/23/2025-22:02:07","2"
"yjdmm.pro","Domain","AlienVault","60","06/23/2025-22:01:23","2"
"mlcorsoft.xyz","Domain","AlienVault","60","06/23/2025-21:58:21","2"
"osama.pro","Domain","AlienVault","60","06/23/2025-21:58:06","2"
"shiteczgg.com","Domain","AlienVault","60","06/23/2025-21:57:36","2"
"turky.info","Domain","AlienVault","60","06/23/2025-21:56:52","2"
"yaojing77.com","Domain","AlienVault","60","06/23/2025-21:56:35","2"
"mighteearly.net","Domain","AlienVault","60","06/21/2025-01:34:04","5"
"downloadnow-1.com","Domain","AlienVault","90","06/18/2025-06:17:52","6"
"l.next","Domain","AlienVault","60","06/07/2025-13:21:46","1"
"l.call","Domain","AlienVault","60","06/04/2025-20:07:44","2"
"getfiledown.com","Domain","AlienVault","60","04/23/2025-10:48:42","2"
"ivibers.com","Domain","AlienVault ,BruteForceBlocker ,ThreatFox","90","04/23/2025-10:47:31","14"
